name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"BAMUM",0.496418237686157,"CMR",9.81806564331055,71.4598617553711,22.3788890838623,1599.19226074219,0.599322497844696,1,0,1,0.325275003910065,0,6,11,30,12.6992025375366,1.05576825141907,0.251483619213104,-0.654202282428741,6,1,0,0,0,1,1,1,2.50232863426209,0,1,1,1,7
"BANDA",0.68813157081604,"CAF",17.1228294372559,58.5628623962402,25.5251789093018,1494.82751464844,0.520138800144196,1,0,1,0.584119021892548,0,7,22,29,11.3381814956665,0.608336389064789,1.03557920455933,0.96381813287735,7,1,0,0,0,0,1,1,NA,0,2,0,1,7
"BANEN",0.676755368709564,"CMR",15.7886199951172,83.9585113525391,23.1918296813965,1947.15148925781,0.679171442985535,1,0,1,0.0856908038258553,0,5,11,30,14.0356178283691,1.49511098861694,0.148128852248192,-0.404791563749313,5,1,0,0,0,0,1,0,2.09257316589355,1,1,0,1,7
"BANNA",0.410279512405396,"ETH",0.641290009021759,69.3915176391602,18.5061092376709,1284.1669921875,0.136159300804138,1,0,1,0.887731611728668,0,6,36,23,3.88048338890076,-1.8433610200882,-0.100778348743916,-1.87043011188507,6,NA,0,0,1,0,0,0,-2.37176728248596,0,1,0,5,4
"BANYANG",0.420977115631104,"CMR",21.4543304443359,74.7266006469727,23.4531803131104,1752.57641601563,0.627707481384277,1,0,0,0.161646902561188,0,6,9,31,13.1781311035156,1.213214635849,0.101608045399189,-0.335415750741959,6,1,0,0,0,0,NA,1,2.01092958450317,0,1,1,1,7
"BANYUN",0.702047407627106,"GNB",0,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,1,0,0.000686949002556503,0,12,-16,34,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,12,0,0,0,0,0,0,0,1.92804539203644,0,0,2,1,7
"BARABRA",0.0899283289909363,"SDN",1.41235101222992,22.950174331665,26.4303855895996,606.581970214844,0.354435563087463,0.944309651851654,0,1,0.185521498322487,0,23,33,19,8.34214687347412,-0.376601606607437,-0.548759639263153,0.350111812353134,23,1,1,0,1,0,0,0,0.42752668261528,0,0,1,3,6
"BAREA",0.22483879327774,"ERI",11.0797500610352,47.6163711547852,27.069730758667,1288.96240234375,0.416003704071045,1,0,0,0.00925859063863754,0,16,38,21,9.48256301879883,-0.00169299589470029,-0.225900247693062,0.745994091033936,16,1,0,1,1,0,0,0,NA,1,0,0,2,7
"BARI",0.837714910507202,"SDN",22.4334602355957,56.0318984985352,25.8076000213623,1446.048828125,0.500188410282135,1,0,1,0.0890020653605461,0,5,32,13,10.9889163970947,0.493516445159912,0.806392729282379,0.920215308666229,5,0,0,0,1,0,0,0,1.21303868293762,0,1,0,4,5
"BASA",0.766311764717102,"NGA",26.0702705383301,65.3932418823242,25.5548000335693,1671.11120605469,0.555626571178436,1,0,1,0.03403564915061,0,8,8,13,11.9529304504395,0.810433387756348,1.29275727272034,1.12673044204712,8,1,0,0,0,0,0,1,2.89713859558105,0,1,1,2,6
"BASAKOMO",0.766311764717102,"NGA",26.0702705383301,65.3932418823242,25.5548000335693,1671.11120605469,0.555626571178436,1,0,1,0.03403564915061,0,8,7,13,11.9529304504395,0.810433387756348,1.29275727272034,1.12673044204712,8,NA,0,0,0,0,NA,1,2.89713859558105,0,1,1,2,6
